type	name	time	size	kind
Parallel Fastmath	Numba	0.19725924999875133	140000000	Parallel Fastmath Numba
MP	Numba	1.4609298380019027	140000000	MP Numba
MP Fastmath	Numba	1.336580381001113	140000000	MP Fastmath Numba
Seq	Cython		140000000	Seq Cython
Seq Native	Cython	3.198862712000846	140000000	Seq Native Cython
MP	Cython	9.210735590000695	140000000	MP Cython
MP Native	Cython	0.4595314540019899	140000000	MP Native Cython
Seq	Python		150000000	Seq Python
MP	Python	12.794932148000953	150000000	MP Python
Seq	Numba	1.5427350549980474	150000000	Seq Numba
Seq Fastmath	Numba	1.4317366370014497	150000000	Seq Fastmath Numba
Parallel	Numba	0.2616217350005172	150000000	Parallel Numba
Parallel Fastmath	Numba	0.19810382899959222	150000000	Parallel Fastmath Numba
MP	Numba	1.5351057420011784	150000000	MP Numba
MP Fastmath	Numba	1.5309210089981207	150000000	MP Fastmath Numba
Seq	Cython		150000000	Seq Cython
Seq Native	Cython	3.448935652999353	150000000	Seq Native Cython
MP	Cython	10.295564568001282	150000000	MP Cython
MP Native	Cython	0.4565239580006164	150000000	MP Native Cython
Seq	Python		160000000	Seq Python
MP	Python	13.236705790997803	160000000	MP Python
Seq	Numba	1.6938139510020847	160000000	Seq Numba
Seq Fastmath	Numba	1.5226880390000588	160000000	Seq Fastmath Numba
Parallel	Numba	0.24262432399700629	160000000	Parallel Numba
Parallel Fastmath	Numba	0.23549186500167707	160000000	Parallel Fastmath Numba
MP	Numba	1.674136745998112	160000000	MP Numba
MP Fastmath	Numba	1.5392079960001865	160000000	MP Fastmath Numba
Seq	Cython		160000000	Seq Cython
Seq Native	Cython	3.676851367999916	160000000	Seq Native Cython
MP	Cython	11.04310779500156	160000000	MP Cython
MP Native	Cython	0.6391692249999323	160000000	MP Native Cython
Seq	Python		170000000	Seq Python
MP	Python	15.571359179000865	170000000	MP Python
Seq	Numba	1.7620738199984771	170000000	Seq Numba
Seq Fastmath	Numba	1.638614637999126	170000000	Seq Fastmath Numba
Parallel	Numba	0.27724533600121504	170000000	Parallel Numba
Parallel Fastmath	Numba	0.21846431599988136	170000000	Parallel Fastmath Numba
MP	Numba	1.9597149080000236	170000000	MP Numba
MP Fastmath	Numba	1.6478889579993847	170000000	MP Fastmath Numba
Seq	Cython		170000000	Seq Cython
